The Creator,2023,PG-13,133,"Action, Adventure, Drama",7.1,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.",Gareth Edwards,"45,793"
Mission: Impossible - Dead Reckoning Part One,2023,PG-13,163,"Action, Adventure, Thriller",7.8,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,Christopher McQuarrie,"170,985"
Expend4bles,2023,R,103,"Action, Adventure, Thriller",4.9,"Armed with every weapon they can get their hands on, the Expendables are the world's last line of defense and the team that gets called when all other options are off the table.",Scott Waugh,"19,846"
The Equalizer 3,2023,R,109,"Action, Crime, Thriller",6.9,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",Antoine Fuqua,"55,622"
Napoleon,2023,R,158,"Action, Adventure, Biography",0.0,"The film takes a personal look at Napoleon Bonaparte's origins, and his swift, ruthless climb to emperor viewed through the prism of his addictive, and often volatile, relationship with his wife and one true love, Josephine.",Ridley Scott,0
Leo,2023,No Certificate,164,"Action, Crime, Drama",7.9,"Parthiban is a mild mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.",Lokesh Kanagaraj,"34,628"
John Wick: Chapter 4,2023,R,169,"Action, Crime, Thriller",7.7,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,"290,237"
The Marvels,2023,PG-13,105,"Action, Adventure, Fantasy",0.0,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",Nia DaCosta,0
Gran Turismo,2023,PG-13,134,"Action, Adventure, Drama",7.2,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world.",Neill Blomkamp,"49,502"
The Killer,2023,R,118,"Action, Adventure, Crime",7.4,"After a fateful near-miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.",David Fincher,"1,966"
Spider-Man: Across the Spider-Verse,2023,PG,140,"Animation, Action, Adventure",8.7,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",Joaquim Dos Santos,"281,443"
Deliver Us from Evil,2014,R,118,"Action, Adventure, Crime",6.2,"New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city.",Scott Derrickson,"83,465"
The Hunger Games: The Ballad of Songbirds and Snakes,2023,PG-13,157,"Action, Adventure, Drama",0.0,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,Francis Lawrence,0
Meg 2: The Trench,2023,PG-13,116,"Action, Adventure, Horror",5.1,"A research team encounters multiple threats while exploring the depths of the ocean, including a malevolent mining operation.",Ben Wheatley,"59,911"
The Covenant,2023,R,123,"Action, Drama, Thriller",7.5,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",Guy Ritchie,"133,967"
Ballerina,2023,No Certificate,0,"Action, Thriller",6.2,"Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.",Chung-Hyun Lee,"6,504"
PAW Patrol: The Mighty Movie,2023,PG,0,"Animation, Action, Adventure",6.0,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups",Cal Brunker,"2,577"
Dungeons & Dragons: Honor Among Thieves,2023,PG-13,134,"Action, Adventure, Comedy",7.3,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",John Francis Daley,"195,070"
Guardians of the Galaxy Vol. 3,2023,PG-13,150,"Action, Adventure, Comedy",7.9,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",James Gunn,"335,343"
Blue Beetle,2023,PG-13,127,"Action, Adventure, Sci-Fi",6.1,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.",Angel Manuel Soto,"56,556"
